name,clf_predicted_religion,clf_max_prob,prob_Hindu,prob_Muslim,prob_Sikh,prob_Christian,prob_Jain,prob_Buddhist
revathee,Hindu,0.5388244635673615,0.5388244635673615,0.00391199596361712,0.0014941850186653166,0.4557068048553295,4.461458587782452e-06,5.808913643867347e-05
richaa,Hindu,0.5879930768405901,0.5879930768405901,0.011800429880745188,0.0009728514377193391,0.39913745276668705,1.0308441918819482e-05,8.588063233952284e-05
rihaanaa,Hindu,0.5193628097944809,0.5193628097944809,0.02020294936129183,0.00037140637137782895,0.4599162690556317,4.701749290409637e-05,9.954792431351929e-05
rijavaan,Hindu,0.9407751990646124,0.9407751990646124,0.013618516505462263,7.456684534063125e-05,0.045370929564107446,9.540001361408249e-05,6.538800686283787e-05
rijavaanaa,Hindu,0.839032187834229,0.839032187834229,0.010937021077041816,9.287849534255887e-05,0.14969888063830022,0.00013518346346206211,0.00010384849162453345
rimk,Muslim,0.5615364944309746,0.3676551593592197,0.5615364944309746,0.00202472093449066,0.06759914611357554,5.224755432473848e-05,0.0011322316074147002
rimkee,Muslim,0.5608741388021606,0.3333490497370426,0.5608741388021606,0.0029146022807624195,0.10193320101415974,1.3347815986323169e-05,0.0009156603498881705
rimkoo,Christian,0.4416694911900151,0.24404971337247253,0.28082397498999434,0.0324149775840005,0.4416694911900151,5.861010474610902e-05,0.000983232758771361
rimkri,Hindu,0.7897477219596963,0.7897477219596963,0.15847985876119464,0.0009583986329975218,0.050384685919734024,3.4863474760583665e-05,0.00039447125161669414
rimku,Hindu,0.5259761074101638,0.5259761074101638,0.363572954412856,0.003942059764062624,0.10401384497917805,7.879262351933474e-05,0.0024162408102202243
rina,Hindu,0.950021908183145,0.950021908183145,0.00237303272952903,0.000399470551325461,0.047150620812051125,5.1195809636204346e-05,3.771914313271471e-06
rinaa,Christian,0.54662090695813,0.4380815634930234,0.013925670763614655,0.0012702608844462522,0.54662090695813,7.662430424790141e-05,2.4973596537733134e-05
rishabh,Hindu,0.9243528154639322,0.9243528154639322,0.07342525492047572,0.0003112298522339818,0.0018991633183864536,2.327671572445951e-06,9.20877339904431e-06
rishi,Hindu,0.9836292998023254,0.9836292998023254,0.009488167388018142,7.705545455572519e-05,0.006800869177741227,8.37952460450834e-07,3.770224899117646e-06
rishidev,Hindu,0.9143614717961653,0.9143614717961653,0.04710871350478252,0.001899118527202099,0.036331542293621295,3.39655534622042e-05,0.00026518832476660615
rishipaal,Hindu,0.8083243680692805,0.8083243680692805,0.05072427408994716,0.002400291147262308,0.13843282304017154,4.6965913265267794e-05,7.12777400731193e-05
