name,type,gender,religion,region,n,hand,clf,score
stephen,last,,Christian,South,12719.0,1,0.9919578550946684,0.9975873565284006
eapen,last,,Christian,South,1590.0,1,0.9918584312693328,0.9975575293807999
yohannan,last,,Christian,South,21640.0,1,0.9912626803819932,0.9973788041145979
antony,last,,Christian,South,87993.0,1,0.9886614455985044,0.9965984336795513
john,last,,Christian,South,116980.0,1,0.988333216932041,0.9964999650796122
cherian,last,,Christian,South,18425.0,1,0.9801024196431534,0.9940307258929459
koshy,last,,Christian,South,9851.0,1,0.97737776433884,0.9932133293016521
punnoose,last,,Christian,South,1079.0,1,0.9688873153596912,0.9906661946079074
costa,last,,Christian,South,126.0,1,0.9617960308155548,0.9885388092446664
joseph,last,,Christian,West,11300.0,1,0.999999973582924,0.9999999920748772
thomas,last,,Christian,West,9367.0,1,0.9999996556702168,0.999999896701065
jose,last,,Christian,West,612.0,1,0.999998785395809,0.9999996356187427
mathew,last,,Christian,West,425.0,1,0.9999609716634612,0.9999882914990383
chacko,last,,Christian,West,47.0,1,0.9999395978614114,0.9999818793584234
george,last,,Christian,West,705.0,1,0.999925027658548,0.9999775082975644
varghese,last,,Christian,West,200.0,1,0.9998283895969436,0.9999485168790831
kuriakose,last,,Christian,West,36.0,1,0.9997884286977172,0.9999365286093151
kurian,last,,Christian,West,123.0,1,0.9997124772892576,0.9999137431867773
philip,last,,Christian,West,379.0,1,0.9996487074364708,0.9998946122309412
mathews,last,,Christian,West,15.0,1,0.9992583223012816,0.9997774966903845
jacob,last,,Christian,West,138.0,1,0.9991496919207316,0.9997449075762195
abraham,last,,Christian,West,2342.0,1,0.9972659364815554,0.9991797809444667
samuel,last,,Christian,West,236.0,1,0.9949875191414016,0.9984962557424204
skariah,last,,Christian,West,2.0,1,0.9949134816439988,0.9984740444931997
daniel,last,,Christian,West,224.0,1,0.9939652725927692,0.9981895817778308
stephen,last,,Christian,West,339.0,1,0.9919578550946684,0.9975873565284006
eapen,last,,Christian,West,1.0,1,0.9918584312693328,0.9975575293807999
yohannan,last,,Christian,West,88.0,1,0.9912626803819932,0.9973788041145979
antony,last,,Christian,West,114.0,1,0.9886614455985044,0.9965984336795513
john,last,,Christian,West,7338.0,1,0.988333216932041,0.9964999650796122
cherian,last,,Christian,West,162.0,1,0.9801024196431534,0.9940307258929459
koshy,last,,Christian,West,59.0,1,0.97737776433884,0.9932133293016521
punnoose,last,,Christian,West,1.0,1,0.9688873153596912,0.9906661946079074
costa,last,,Christian,West,9637.0,1,0.9617960308155548,0.9885388092446664
singh,last,,Sikh,ALL,30868593.0,1,0.9999988829582817,0.9999996648874845
kaur,last,,Sikh,ALL,5457017.0,1,0.999825815543716,0.9999477446631149
sohal,last,,Sikh,ALL,2476.0,1,0.0,0.7
dhanoa,last,,Sikh,ALL,416.0,1,0.0,0.7
brar,last,,Sikh,ALL,3203.0,1,0.0,0.7
dhaliwal,last,,Sikh,ALL,1166.0,1,0.0,0.7
nagra,last,,Sikh,ALL,106.0,1,0.0,0.7
sarai,last,,Sikh,ALL,2426.0,1,0.0,0.7
pannu,last,,Sikh,ALL,4979.0,1,0.0,0.7
gakhal,last,,Sikh,ALL,16.0,1,0.0,0.7
randhawa,last,,Sikh,ALL,2293.0,1,0.0,0.7
sekhon,last,,Sikh,ALL,186.0,1,0.0,0.7
nijjar,last,,Sikh,ALL,571.0,1,0.0,0.7
sodhi,last,,Sikh,ALL,4869.0,1,0.0,0.7
bhullar,last,,Sikh,ALL,3984.0,1,0.0,0.7
khalsa,last,,Sikh,ALL,725.0,1,0.0,0.7
samra,last,,Sikh,ALL,265.0,1,0.0,0.7
grewal,last,,Sikh,ALL,1854.0,1,0.0,0.7
dhillon,last,,Sikh,ALL,1649.0,1,0.0,0.7
bedi,last,,Sikh,ALL,14687.0,1,0.0,0.7
rehal,last,,Sikh,ALL,252.0,1,0.0,0.7
bal,last,,Sikh,ALL,19468.0,1,0.0,0.7
sidhu,last,,Sikh,ALL,7481.0,1,0.0,0.7
aulakh,last,,Sikh,ALL,148.0,1,0.0,0.7
takhar,last,,Sikh,ALL,399.0,1,0.0,0.7
toor,last,,Sikh,ALL,941.0,1,0.0,0.7
hayer,last,,Sikh,ALL,13.0,1,0.0,0.7
bains,last,,Sikh,ALL,2445.0,1,0.0,0.7
sanghera,last,,Sikh,ALL,85.0,1,0.0,0.7
waraich,last,,Sikh,ALL,15.0,1,0.0,0.7
purewal,last,,Sikh,ALL,81.0,1,0.0,0.7
wahla,last,,Sikh,ALL,19.0,1,0.0,0.7
hundal,last,,Sikh,ALL,428.0,1,0.0,0.7
sudan,last,,Sikh,ALL,5135.0,1,0.0,0.7
deol,last,,Sikh,ALL,918.0,1,0.0,0.7
sahni,last,,Sikh,ALL,541793.0,1,0.0,0.7
thandi,last,,Sikh,ALL,1549.0,1,0.0,0.7
gill,last,,Sikh,ALL,13360.0,1,0.0,0.7
rai,last,,Sikh,ALL,127365.0,1,0.0,0.7
klair,last,,Sikh,ALL,30.0,1,0.0,0.7
pandher,last,,Sikh,ALL,243.0,1,0.0,0.7
shergill,last,,Sikh,ALL,152.0,1,0.0,0.7
cheema,last,,Sikh,ALL,1270.0,1,0.0,0.7
dhadwal,last,,Sikh,ALL,117.0,1,0.0,0.7
kahlon,last,,Sikh,ALL,154.0,1,0.0,0.7
virk,last,,Sikh,ALL,1267.0,1,0.0,0.7
dosanjh,last,,Sikh,ALL,21.0,1,0.0,0.7
chana,last,,Sikh,ALL,8329.0,1,0.0,0.7
sahota,last,,Sikh,ALL,2390.0,1,0.0,0.7
johal,last,,Sikh,ALL,538.0,1,0.0,0.7
ghuman,last,,Sikh,ALL,1122.0,1,0.0,0.7
garcha,last,,Sikh,ALL,646.0,1,0.0,0.7
bhatti,last,,Sikh,ALL,39949.0,1,0.0,0.7
sandhu,last,,Sikh,ALL,10821.0,1,0.0,0.7
bajwa,last,,Sikh,ALL,1611.0,1,0.0,0.7
chattha,last,,Sikh,ALL,320.0,1,0.0,0.7
jawanda,last,,Sikh,ALL,72.0,1,0.0,0.7
chahal,last,,Sikh,ALL,4534.0,1,0.0,0.7
bassi,last,,Sikh,ALL,2517.0,1,0.0,0.7
